,Unnamed: 0,Date,Country,Activity,Hemispheres,Months
4142,4142,01-Sep-1958,USA,Spearfishing,Hemisphere-N,sep
4146,4146,27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",Hemisphere-N,jul
4147,4147,27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",Hemisphere-N,jul
4148,4148,10-Jul-1958,USA,,Hemisphere-N,jul
4152,4152,02-Jul-1958,USA,Free diving,Hemisphere-N,jul
4153,4153,01-Jul-1958,PAPUA NEW GUINEA,Swimming,Hemisphere-S,jul
4155,4155,Jul-1958,USA,,Hemisphere-N,jul
4156,4156,26-Jun-1958,USA,Wading,Hemisphere-N,jun
4157,4157,24-Jun-1958,USA,Walking,Hemisphere-N,jun
4158,4158,17-Jun-1958,USA,"Swimming, towing the shark",Hemisphere-N,jun
4159,4159,15-Jun-1958,AUSTRALIA,Swimming,Hemisphere-S,jun
4161,4161,30-Apr-1958,USA,Free diving,Hemisphere-N,apr
4163,4163,05-Apr-1958,SOUTH AFRICA,Paddling in knee-deep water,Hemisphere-S,apr
4164,4164,03-Apr-1958,SOUTH AFRICA,Swimming with goggles,Hemisphere-S,apr
4165,4165,Apr-1958,PAPUA NEW GUINEA,"Fishing, holding fish in his left hand",Hemisphere-S,apr
4166,4166,19-Feb-1958,AUSTRALIA,Spearfishing,Hemisphere-S,feb
4167,4167,01-Feb-1958,USA,Spearfishing on Scuba,Hemisphere-N,feb
4168,4168,27-Jan-1958,AUSTRALIA,Spearfishing / swimming on surface,Hemisphere-S,jan
4169,4169,19-Jan-1958,AUSTRALIA,Body surfing,Hemisphere-S,jan
4171,4171,09-Jan-1958,SOUTH AFRICA,Swimming,Hemisphere-S,jan
4181,4181,31-Dec-1957,AUSTRALIA,Spearfishing,Hemisphere-S,dec
4182,4182,30-Dec-1957,SOUTH AFRICA,Standing,Hemisphere-S,dec
4183,4183,26-Dec-1957,SOUTH AFRICA,Skindiving,Hemisphere-S,dec
4184,4184,23-Dec-1957,SOUTH AFRICA,Floating,Hemisphere-S,dec
4185,4185,20-Dec-1957,SOUTH AFRICA,Standing,Hemisphere-S,dec
4186,4186,18-Dec-1957,SOUTH AFRICA,Body surfing,Hemisphere-S,dec
4192,4192,Aug-1957,USA,Attempting to net shark in shark channel,Hemisphere-N,aug
4193,4193,24-Jul-1957,USA,Spearfishing on Scuba,Hemisphere-N,jul
4194,4194,15-Jul-1957,USA,Swimming,Hemisphere-N,jul
4195,4195,09-Jul-1957,AUSTRALIA,Diving for trochus,Hemisphere-S,jul
4197,4197,11-May-1957,AUSTRALIA,Competing in spearfishing championship & towing dead fish,Hemisphere-S,may
4199,4199,May 1957,USA,3 men & 2 boys picked up wearing life jackets and with inner tube,Hemisphere-N,may
4200,4200,28-Apr-1957,USA,Swimming,Hemisphere-N,apr
4201,4201,23-Apr-1957,AUSTRALIA,Surfing,Hemisphere-S,apr
4202,4202,22-Apr-1957,USA,Standing,Hemisphere-N,apr
4203,4203,13-Apr-1957,AUSTRALIA,Swimming between  anchored  pearling luggers,Hemisphere-S,apr
4204,4204,07-Apr-1957,PAPUA NEW GUINEA,Diving from canoe,Hemisphere-S,apr
4207,4207,05-Feb-1957,USA,Floating,Hemisphere-N,feb
4208,4208,02-Feb-1957,AUSTRALIA,,Hemisphere-S,feb
4209,4209,Feb-1957,USA,Skindiving for specimens,Hemisphere-N,feb
4210,4210,05-Jan-1957,SOUTH AFRICA,Wading,Hemisphere-S,jan
4222,4222,26-Dec-1956,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,dec
4223,4223,24-Dec-1956,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,dec
4225,4225,09-Dec-1956,NEW ZEALAND,Fishing,Hemisphere-S,dec
4226,4226,27-Oct-1956,SOUTH AFRICA,Free diving for sinkers,Hemisphere-S,oct
4227,4227,20-Oct-1956,PAPUA NEW GUINEA,"Spearfishing, holding 5' speared fish",Hemisphere-S,oct
4229,4229,Oct-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,oct
4230,4230,23-Sep-1956,USA,Surf fishing,Hemisphere-N,sep
4234,4234,25-Aug-1956,PAPUA NEW GUINEA,Fishing ,Hemisphere-S,aug
4235,4235,20-Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug
4237,4237,15-Aug-1956,AUSTRALIA,Diving,Hemisphere-S,aug
4238,4238,15-Aug-1956,USA,Swimming near pier,Hemisphere-N,aug
4239,4239,1-Aug-1956,SOUTH AFRICA,Free diving for crayfish,Hemisphere-S,aug
4243,4243,Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug
4244,4244,Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug
4245,4245,28-Jul-1956,USA,Floating in inner tube,Hemisphere-N,jul
4246,4246,26-Jul-1956,USA,Fishing,Hemisphere-N,jul
4248,4248,17-Jul-1956,USA,Wading,Hemisphere-N,jul
4249,4249,12-Jul-1956,USA,Swimming,Hemisphere-N,jul
4250,4250,28-Jun-1956,AUSTRALIA,"Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",Hemisphere-S,jun
4255,4255,May 1956,AUSTRALIA,Diving,Hemisphere-S,may
4257,4257,11-Mar-1956,AUSTRALIA,Bathing,Hemisphere-S,mar
4258,4258,04-Mar-1956,AUSTRALIA,"Swimming, attacked at  surf carnival",Hemisphere-S,mar
4259,4259,Mar-1956,AUSTRALIA,Attempting to set underwater endurance record,Hemisphere-S,mar
4260,4260,26-Feb-1956,AUSTRALIA,Diving into water,Hemisphere-S,feb
4264,4264,05-Jan-1956,AUSTRALIA,Surf skiing,Hemisphere-S,jan
4274,4274,11-Dec-1955,USA,Fishing for pompano,Hemisphere-N,dec
4275,4275,16-Nov-1955,PAPUA NEW GUINEA,Swimming,Hemisphere-S,nov
4276,4276,Nov-1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,nov
4277,4277,16-Oct-1955,AUSTRALIA,Spearfishing & lassoed shark,Hemisphere-S,oct
4280,4280,20-Sep-1955,USA,Hunting turtle,Hemisphere-N,sep
4281,4281,04-Sep-1955,USA,Swimming near breakwater,Hemisphere-N,sep
4282,4282,03-Sep-1955,USA,,Hemisphere-N,sep
4284,4284,30-Aug-1955,USA,Surfing,Hemisphere-N,aug
4289,4289,Aug-1955,AUSTRALIA,Fishing,Hemisphere-S,aug
4291,4291,23-Jun-1955,USA,Wading,Hemisphere-N,jun
4294,4294,08-May-1955,USA,Spearfishing,Hemisphere-N,may
4295,4295,May 1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,may
4297,4297,12-Apr-1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,apr
4298,4298,Apr-1955,USA,"Fishing from boat, Kaimamla",Hemisphere-N,apr
4299,4299,09-Mar-1955,AUSTRALIA,Body surfing,Hemisphere-S,mar
4300,4300,Mar-1955,PAPUA NEW GUINEA,Swimming with speared fish,Hemisphere-S,mar
4301,4301,Mar-1955,AUSTRALIA,"Competing in U/W endurance record, standing beside drum in 10' of water",Hemisphere-S,mar
4302,4302,10-Feb-1955,USA,Scuba diving,Hemisphere-N,feb
4303,4303,06-Feb-1955,USA,Spearfishing,Hemisphere-N,feb
4304,4304,05-Feb-1955,AUSTRALIA,Swimming,Hemisphere-S,feb
4306,4306,01-Feb-1955,AUSTRALIA,Rowing,Hemisphere-S,feb
4307,4307,Feb-1955,AUSTRALIA,Rowing toward snapper grounds,Hemisphere-S,feb
4308,4308,17-Jan-1955,AUSTRALIA,Hunting lobsters in 2.4 m of water,Hemisphere-S,jan
4309,4309,15-Jan-1955,SOUTH AFRICA,Crossing the bay at the ford,Hemisphere-S,jan
4317,4317,11-Dec-1954,AUSTRALIA,Swimming,Hemisphere-S,dec
4318,4318,09-Dec-1954,PAPUA NEW GUINEA,Swimming near canoe,Hemisphere-S,dec
4319,4319,04-Dec-1954,SOUTH AFRICA,Swimming,Hemisphere-S,dec
4320,4320,20-Nov-1954,USA,Spearfishing,Hemisphere-N,nov
4321,4321,07-Oct-1954,USA,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",Hemisphere-N,oct
4325,4325,21-Sep-1954,USA,Swimming,Hemisphere-N,sep
4327,4327,04-Sep-1954,AUSTRALIA,"Spearfishing, hunting crayfish",Hemisphere-S,sep
4339,4339,29-Jun-1954,USA,Grabbed shark & threw it on deck,Hemisphere-N,jun
4340,4340,27-Jun-1954,AUSTRALIA,Pearl diving from lugger Whyalla,Hemisphere-S,jun
4343,4343,May 1954,PAPUA NEW GUINEA,,Hemisphere-S,may
4344,4344,08-Apr-1954,USA,Fishing from shore,Hemisphere-N,apr
4346,4346,27-Feb-1954,AUSTRALIA,Swimming,Hemisphere-S,feb
4347,4347,30-Jan-1954,AUSTRALIA,Swimming,Hemisphere-S,jan
4348,4348,22-Jan-1954,AUSTRALIA,Spearfishing,Hemisphere-S,jan
4350,4350,15-Jan-1954,PAPUA NEW GUINEA,Crouching in the water,Hemisphere-S,jan
4358,4358,30-Dec-1953,SOUTH AFRICA,Swimming,Hemisphere-S,dec
4359,4359,22-Dec-1953,SOUTH AFRICA,Swimming,Hemisphere-S,dec
4360,4360,13-Dec-1953,AUSTRALIA,Swimming or wading out  to warn bathers that a shark had been seen,Hemisphere-S,dec
4361,4361,Dec-1953,AUSTRALIA,Surf skiing,Hemisphere-S,dec
4362,4362,Oct-1953,AUSTRALIA,,Hemisphere-S,oct
4365,4365,18-Sep-1953,USA,Aircaft exploded,Hemisphere-N,sep
4367,4367,02-Sep-1953,USA,Crabbing,Hemisphere-N,sep
4370,4370,26-Jul-1953,USA,Spearfishing,Hemisphere-N,jul
4371,4371,16-Jul-1953,USA,Fishing from market fishboat Sea Spray,Hemisphere-N,jul
4372,4372,15-Jul-1953,USA,Standing,Hemisphere-N,jul
4375,4375,04-Jul-1953,USA,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,Hemisphere-N,jul
4377,4377,Jun-1953,AUSTRALIA,Landing hooked shark in boat,Hemisphere-S,jun
4378,4378,07-Apr-1953,AUSTRALIA,,Hemisphere-S,apr
4379,4379,04-Apr-1953,USA,Swimming,Hemisphere-N,apr
4382,4382,Mar-1953,AUSTRALIA,Spearfishing,Hemisphere-S,mar
4385,4385,Mar-1953,PAPUA NEW GUINEA,Went over side of boat at trochus ground,Hemisphere-S,mar
4386,4386,18-Feb-1953,USA,Bitten while cutting shark from net,Hemisphere-N,feb
4387,4387,15-Feb-1953,AUSTRALIA,Spearfishing,Hemisphere-S,feb
4388,4388,Feb-1953,AUSTRALIA,Spearfishing,Hemisphere-S,feb
4389,4389,20-Jan-1953,AUSTRALIA,Fishing,Hemisphere-S,jan
4390,4390,08-Jan-1953,AUSTRALIA,Fishing,Hemisphere-S,jan
4394,4394,24-Dec-1952,AUSTRALIA,Lying prone on surfboard,Hemisphere-S,dec
4395,4395,21-Dec-1952,AUSTRALIA,"Fishing, setting nets",Hemisphere-S,dec
4398,4398,03-Aug-1952,USA,Swimming,Hemisphere-N,aug
4399,4399,7-Dec-1952,USA,Body surfing & treading water,Hemisphere-N,dec
4400,4400,03-Dec-1952,USA,Swimming from fishing boat setting nets,Hemisphere-N,dec
4401,4401,12-Oct-1952,PAPUA NEW GUINEA,Fishing,Hemisphere-S,oct
4402,4402,06-Aug-1952,SOUTH AFRICA,,Hemisphere-S,aug
4404,4404,27-Jul-1952,USA,Fishing for trout ,Hemisphere-N,jul
4405,4405,27-Jul-1952,USA,Fishing,Hemisphere-N,jul
4406,4406,27-Jul-1952,USA,Fishing,Hemisphere-N,jul
4407,4407,27-Jul-1952,USA,Boat exploded,Hemisphere-N,jul
4408,4408,13-Jul-1952,USA,Fishing,Hemisphere-N,jul
4409,4409,05-Jul-1952,USA,"Spearfishing, carrying fish on spear",Hemisphere-N,jul
4410,4410,27-May-1952,USA,Swimming on surface,Hemisphere-N,may
4413,4413,06-Apr-1952,AUSTRALIA,Fishing for white sharks,Hemisphere-S,apr
4417,4417,07-Jan-1952,AUSTRALIA,Surfing,Hemisphere-S,jan
4424,4424,16-Dec-1951,AUSTRALIA,Spearfishing,Hemisphere-S,dec
4426,4426,6-Dec-1951,AUSTRALIA,Treading water,Hemisphere-S,dec
4427,4427,29-Nov-1951,SOUTH AFRICA,Swimming,Hemisphere-S,nov
4429,4429,28-Nov-1951,SOUTH AFRICA,Treading water,Hemisphere-S,nov
4431,4431,22-Oct-1951,AUSTRALIA,Swimming,Hemisphere-S,oct
4442,4442,25-Jun-1951,USA,Swept out to sea while fishing,Hemisphere-N,jun
4446,4446,26-Mar-1951,AUSTRALIA,Fell off surf ski,Hemisphere-S,mar
4447,4447,24-Mar-1951,AUSTRALIA,"Fishing, casting in the surf",Hemisphere-S,mar
4448,4448,15-Mar-1951,SOUTH AFRICA,Body surfing,Hemisphere-S,mar
4449,4449,19-Feb-1951,SOUTH AFRICA,Body surfing,Hemisphere-S,feb
4450,4450,03-Feb-1951,AUSTRALIA,Spearfishing (but treading water on the surface),Hemisphere-S,feb
4451,4451,01-Feb-1951,AUSTRALIA,Swimming,Hemisphere-S,feb
4452,4452,21-Jan-1951,SOUTH AFRICA,Swimming,Hemisphere-S,jan
4453,4453,03-Jan-1951,AUSTRALIA,,Hemisphere-S,jan
4455,4455,31-Dec-1950,AUSTRALIA,Paddling a surfboat,Hemisphere-S,dec
4457,4457,16-Dec-1950,AUSTRALIA,Treading water,Hemisphere-S,dec
4458,4458,29-Nov-1950,AUSTRALIA,Diving ,Hemisphere-S,nov
4459,4459,25-Nov-1950,AUSTRALIA,Body surfing,Hemisphere-S,nov
4460,4460,12-Nov-1950,AUSTRALIA,Paddling a canoe,Hemisphere-S,nov
4461,4461,28-Oct-1950,USA,Body surfing / treading water,Hemisphere-N,oct
4462,4462,04-Oct-1950,AUSTRALIA,Fishing,Hemisphere-S,oct
4469,4469,10-Jul-1950,USA,Swimming,Hemisphere-N,jul
4470,4470,09-Jul-1950,USA,,Hemisphere-N,jul
4471,4471,Jul-1950,USA,"Goggle-diving for seaweeds, but standing in water",Hemisphere-N,jul
4472,4472,25-Jun-1950,USA,Swimming ,Hemisphere-N,jun
4473,4473,06-Jun-1950,USA,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA,Hemisphere-N,jun
4474,4474,24-May-1950,SOUTH AFRICA,Treading water,Hemisphere-S,may
4476,4476,09-Apr-1950,AUSTRALIA,"Sea Disaster, sinking of the fishing  launch Mavis",Hemisphere-S,apr
4477,4477,09-Apr-1950,SOUTH AFRICA,"Fishing, sitting in stern of small boat, feet dangling in the water",Hemisphere-S,apr
4478,4478,26-Mar-1950,SOUTH AFRICA,Wading,Hemisphere-S,mar
4479,4479,08-Mar-1950,SOUTH AFRICA,Lifesaving drill,Hemisphere-S,mar
4480,4480,01-Mar-1950,AUSTRALIA,Suicide,Hemisphere-S,mar
4482,4482,11-Feb-1950,SOUTH AFRICA,Body surfing,Hemisphere-S,feb
4483,4483,16-Jan-1950,USA,"Fishing, one of three fishermen swept into the sea by a large wave ",Hemisphere-N,jan
4499,4499,Dec-1949,AUSTRALIA,Lying on the bottom of a 16' dinghy,Hemisphere-S,dec
4500,4500,20-Nov-1949,AUSTRALIA,Free diving or wading back to shore,Hemisphere-S,nov
4501,4501,12-Nov-1949,AUSTRALIA,No details,Hemisphere-S,nov
4502,4502,28-Aug-1949,AUSTRALIA,Swimming,Hemisphere-S,aug
4503,4503,28-Aug-1949,AUSTRALIA,Swimming,Hemisphere-S,aug
4505,4505,16-Aug-1949,AUSTRALIA,Swimming near shore,Hemisphere-S,aug
4509,4509,25-Jul-1949,USA,Floating on his back,Hemisphere-N,jul
4510,4510,16-Jul-1949,USA,Fishing,Hemisphere-N,jul
4512,4512,16-May-1949,AUSTRALIA,Bathing,Hemisphere-S,may
4513,4513,13-May-1949,AUSTRALIA,"Examining netted shark, that had been shot",Hemisphere-S,may
4514,4514,18-Apr-1949,AUSTRALIA,Fishing,Hemisphere-S,apr
4515,4515,17-Apr-1949,AUSTRALIA,Bathing in water 0.9 m deep,Hemisphere-S,apr
4517,4517,Mar-1949 or Apr-1949,AUSTRALIA,,Hemisphere-S,mar
4518,4518,23-Jan-1949,AUSTRALIA,Lifesaving exhibition,Hemisphere-S,jan
4519,4519,14-Jan-1949,AUSTRALIA,Surfing,Hemisphere-S,jan
4520,4520,13-Jan-1949,AUSTRALIA,Surf skiing,Hemisphere-S,jan
4521,4521,05-Jan-1949,AUSTRALIA,,Hemisphere-S,jan
4529,4529,27-Dec-1948,AUSTRALIA,Swimming,Hemisphere-S,dec
4530,4530,26-Dec-1948,AUSTRALIA,"Treading water, waiting for a wave",Hemisphere-S,dec
4533,4533,10-Dec-1948,AUSTRALIA,Fishing,Hemisphere-S,dec
4535,4535,18-Nov-1948,AUSTRALIA,Pearl diving,Hemisphere-S,nov
4537,4537,19-Sep-1948,USA,Swimming,Hemisphere-N,sep
4538,4538,19-Sep-1948,USA,Fishing,Hemisphere-N,sep
4545,4545,01-Jul-1948,USA,Swimming,Hemisphere-N,jul
4548,4548,10-Apr-1948,SOUTH AFRICA,"Bringing hooked, harpooned shark onboard boat",Hemisphere-S,apr
4551,4551,Mar-1948,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,mar
4552,4552,13-Feb-1948,USA,"C47 aircraft carrying 5,000 lbs of ice ditched in the sea",Hemisphere-N,feb
4553,4553,12-Feb-1948,AUSTRALIA,Swimming,Hemisphere-S,feb
4554,4554,25-Jan-1948,AUSTRALIA,Surf skiing,Hemisphere-S,jan
4559,4559,21-Dec-1947,AUSTRALIA,Fishing,Hemisphere-S,dec
4562,4562,23-Nov-1947,AUSTRALIA,Fishing,Hemisphere-S,nov
4563,4563,14-Nov-1947,AUSTRALIA,Fishing from surf ski,Hemisphere-S,nov
4564,4564,14-Nov-1947,AUSTRALIA,Fishing from surf ski,Hemisphere-S,nov
4565,4565,08-Nov-1947,AUSTRALIA,Swimming,Hemisphere-S,nov
4566,4566,08-Nov-1947,AUSTRALIA,Swimming,Hemisphere-S,nov
4567,4567,Nov-1947,AUSTRALIA,,Hemisphere-S,nov
4568,4568,28-Oct-1947,AUSTRALIA,Fishing in waist-deep water,Hemisphere-S,oct
4570,4570,04-Aug-1947,USA,Swimming,Hemisphere-N,aug
4573,4573,15-Jul-1947,SOUTH AFRICA,Swimming,Hemisphere-S,jul
4575,4575,27-Jun-1947,USA,Fishing,Hemisphere-N,jun
4576,4576,16-Jun-1947,AUSTRALIA,Fishing,Hemisphere-S,jun
4578,4578,20-Apr-1947,SOUTH AFRICA,Treading water,Hemisphere-S,apr
4579,4579,11-Apr-1947,SOUTH AFRICA,Body surfing,Hemisphere-S,apr
4580,4580,06-Apr-1947,AUSTRALIA,Surfing,Hemisphere-S,apr
4582,4582,12-Mar-1947,SOUTH AFRICA,Wading,Hemisphere-S,mar
4583,4583,09-Mar-1947,SOUTH AFRICA,Treading water,Hemisphere-S,mar
4584,4584,23-Feb-1947,AUSTRALIA,Fishing,Hemisphere-S,feb
4587,4587,14-Jan-1947,AUSTRALIA,Rowing,Hemisphere-S,jan
4588,4588,05-Jan-1947,SOUTH AFRICA,Treading water,Hemisphere-S,jan
4589,4589,28-Dec-1946,AUSTRALIA,Swimming near jetty with 2' piece of wood,Hemisphere-S,dec
4591,4591,20-Nov-1946,AUSTRALIA,Pearl diving from lugger,Hemisphere-S,nov
4593,4593,14-Oct-1946,AUSTRALIA,Swimming,Hemisphere-S,oct
4595,4595,18-Aug-1946,AUSTRALIA,Swimming after a tennis ball,Hemisphere-S,aug
4600,4600,19-Apr-1946,AUSTRALIA,Swimming,Hemisphere-S,apr
4601,4601,Apr-1946,AUSTRALIA,Fishing,Hemisphere-S,apr
4602,4602,20-Mar-1946,AUSTRALIA,Fishing,Hemisphere-S,mar
4603,4603,16-Feb-1946,SOUTH AFRICA,Treading water,Hemisphere-S,feb
4604,4604,10-Feb-1946,AUSTRALIA,Standing,Hemisphere-S,feb
4605,4605,10-Feb-1946,SOUTH AFRICA,Swimming ,Hemisphere-S,feb
4606,4606,24-Jan-1946,SOUTH AFRICA,Treading water,Hemisphere-S,jan
4607,4607,24-Jan-1946,SOUTH AFRICA,Swimming,Hemisphere-S,jan
4608,4608,17-Jan-1946,AUSTRALIA,,Hemisphere-S,jan
4609,4609,07-Jan-1946,SOUTH AFRICA,Jumping in swells,Hemisphere-S,jan
4610,4610,05-Jan-1946,AUSTRALIA,Swimming,Hemisphere-S,jan
4611,4611,01-Jan-1946,SOUTH AFRICA,Body surfing,Hemisphere-S,jan
4620,4620,06-Aug-1945,USA,,Hemisphere-N,aug
4623,4623,15-Jun-1945,AUSTRALIA,Swimming,Hemisphere-S,jun
4624,4624,08-May-1945,USA,Swimming,Hemisphere-N,may
4625,4625,06-Mar-1945,SOUTH AFRICA,Walking,Hemisphere-S,mar
4632,4632,02-Dec-1944,USA,Fishing for mackerel,Hemisphere-N,dec
4634,4634,01-Nov-1944,AUSTRALIA,Swimming,Hemisphere-S,nov
4641,4641,03-Sep-1944,USA,Swimming,Hemisphere-N,sep
4643,4643,20-Aug-1944,SOUTH AFRICA,Swimming ,Hemisphere-S,aug
4644,4644,22-Jul-144,SOUTH AFRICA,Swimming,Hemisphere-S,jul
4646,4646,31-May-1944,USA,Bathing,Hemisphere-N,may
4650,4650,26-Mar-1944,SOUTH AFRICA,Treading water,Hemisphere-S,mar
4651,4651,26-Mar-1944,SOUTH AFRICA,Standing,Hemisphere-S,mar
4652,4652,14-Mar-1944,SOUTH AFRICA,Treading water,Hemisphere-S,mar
4653,4653,27-Feb-1944,SOUTH AFRICA,Treading water,Hemisphere-S,feb
4655,4655,20-Jan-1944,SOUTH AFRICA,Body surfing,Hemisphere-S,jan
4656,4656,16-Jan-1944,AUSTRALIA,Fishing,Hemisphere-S,jan
4657,4657,14-Jan-1944,AUSTRALIA,Surfing,Hemisphere-S,jan
4658,4658,04-Jan-1944,SOUTH AFRICA,Swimming,Hemisphere-S,jan
4662,4662,12-Dec-1943,SOUTH AFRICA,Treading water,Hemisphere-S,dec
4663,4663,04-Dec-1943,USA,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,Hemisphere-N,dec
4664,4664,21-Nov-1943,SOUTH AFRICA,Swimming with board,Hemisphere-S,nov
4666,4666,26-Oct-1943,USA,,Hemisphere-N,oct
4669,4669,18-Jul-1943,USA,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,Hemisphere-N,jul
4672,4672,16-Jun-1943,AUSTRALIA,Fishing for cod,Hemisphere-S,jun
4676,4676,14-May-1943,AUSTRALIA,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,Hemisphere-S,may
4678,4678,5-Apr-1943,USA,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",Hemisphere-N,apr
4679,4679,21-Mar-1943,SOUTH AFRICA,Swimming,Hemisphere-S,mar
4682,4682,02-Mar-1943 to 07-Mar-1943,PAPUA NEW GUINEA,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force.",Hemisphere-S,mar
4690,4690,26-Dec-1942,AUSTRALIA,Dog paddling or standing,Hemisphere-S,dec
4691,4691,28-Nov-1942,SOUTH AFRICA,U-177 torpedoed & sank the troopship Nova Scotia,Hemisphere-S,nov
4692,4692,25-Nov-1942,SOUTH AFRICA,Swimming,Hemisphere-S,nov
4698,4698,01-Nov-1942,SOUTH AFRICA,Swimming ,Hemisphere-S,nov
4704,4704,12-Sep-1942,AUSTRALIA,Treading water,Hemisphere-S,sep
4711,4711,04-Jun-1942,USA,"Plane crashed in water, men in life raft",Hemisphere-N,jun
4713,4713,09-May-1942,AUSTRALIA,Diving from lugger,Hemisphere-S,may
4716,4716,04-Mar-1942,AUSTRALIA,,Hemisphere-S,mar
4717,4717,18-Jan-1942,AUSTRALIA,,Hemisphere-S,jan
4718,4718,04-Jan-1942,AUSTRALIA,Swimming,Hemisphere-S,jan
4719,4719,Jan-1942,AUSTRALIA,Surf-skiing,Hemisphere-S,jan
4732,4732,03-Dec-1941,AUSTRALIA,Swimming,Hemisphere-S,dec
4736,4736,19-Nov-1941,AUSTRALIA,German raider Kormoran was sunk in an engagement with HMAS Sydney,Hemisphere-S,nov
4739,4739,05-Aug-1941,AUSTRALIA,Swimming,Hemisphere-S,aug
4740,4740,01-Aug-1941,USA,Swimming at edge of channel,Hemisphere-N,aug
4741,4741,22-Jul-1941,USA,Fishing for tuna,Hemisphere-N,jul
4742,4742,01-Jul-1941,USA,Fishing,Hemisphere-N,jul
4743,4743,15-Jun-1941,USA,Fishing from 32' boat,Hemisphere-N,jun
4746,4746,09-Mar-1941,USA,Fishing,Hemisphere-N,mar
4747,4747,13-Feb-1941,AUSTRALIA,Fishing,Hemisphere-S,feb
4758,4758,28-Dec-1940,AUSTRALIA,Standing on sandbank,Hemisphere-S,dec
4759,4759,20-Dec-1940,SOUTH AFRICA,Swimming,Hemisphere-S,dec
4761,4761,10-Dec-1940,AUSTRALIA,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,Hemisphere-S,dec
4763,4763,13-Jul-1940,USA,Standing,Hemisphere-N,jul
4764,4764,13-Jul-1940,USA,Standing ,Hemisphere-N,jul
4765,4765,30-Jun-1940,USA,Fishing,Hemisphere-N,jun
4766,4766,31-Mar-1940,SOUTH AFRICA,Treading water,Hemisphere-S,mar
4767,4767,20-Mar-1940,AUSTRALIA,Free diving for lobster,Hemisphere-S,mar
4768,4768,22-Feb-1940,SOUTH AFRICA,Swimming,Hemisphere-S,feb
4769,4769,20-Feb-1940,AUSTRALIA,Canoeing,Hemisphere-S,feb
4770,4770,4-Feb-1940,AUSTRALIA,Wading,Hemisphere-S,feb
4771,4771,29-Jan-1940,AUSTRALIA,Dived into the water,Hemisphere-S,jan
4772,4772,23-Jan-1940,AUSTRALIA,Swimming,Hemisphere-S,jan
4773,4773,15-Jan-1940,AUSTRALIA,Swimming,Hemisphere-S,jan
4774,4774,07-Jan-1940,SOUTH AFRICA,Swimming ,Hemisphere-S,jan
4775,4775,01-Jan-1940,AUSTRALIA,Diving for trochus,Hemisphere-S,jan
4782,4782,28-Dec-1939,AUSTRALIA,Swimming,Hemisphere-S,dec
4783,4783,14-Dec-1939,AUSTRALIA,Swimming ,Hemisphere-S,dec
4784,4784,23-Nov-1939,AUSTRALIA,,Hemisphere-S,nov
4785,4785,11-Nov-1939,AUSTRALIA,,Hemisphere-S,nov
4786,4786,09-Nov-1939,AUSTRALIA,,Hemisphere-S,nov
4787,4787,06-Nov-1939,AUSTRALIA,,Hemisphere-S,nov
4790,4790,04-Oct-1939,USA,Spearfishing & had just speared a ulua,Hemisphere-N,oct
4792,4792,01-Aug-1939,USA,Fishing,Hemisphere-N,aug
4795,4795,14-Jul-1939,USA,Seine netting,Hemisphere-N,jul
4796,4796,03-May-1939,USA,Washed off freighter Huncliff by a freak wave,Hemisphere-N,may
4797,4797,12-Apr-1939,PAPUA NEW GUINEA,Dived for a coin,Hemisphere-S,apr
4798,4798,24-Mar-1939,PAPUA NEW GUINEA,Dived for a coin,Hemisphere-S,mar
4800,4800,26-Feb-1939,NEW ZEALAND,Fishing,Hemisphere-S,feb
4801,4801,12-Jan-1939,AUSTRALIA,Scooping prawns,Hemisphere-S,jan
4807,4807,27-Dec-1938,AUSTRALIA,Swimming,Hemisphere-S,dec
4808,4808,05-Oct-1938,AUSTRALIA,Fishing,Hemisphere-S,oct
4810,4810,18-Aug-1938,USA,Fishing,Hemisphere-N,aug
