,Date,Country,Activity
4817,26-May-1938,COSTA RICA,Fishing
4818,15-May-1938,IRAQ,"Swimming, naked"
4819,Reported 02-May-1938,INDIA,Bathing
4820,Reported 21-Mar-1938,FIJI,Wading
4821,08-Mar-1938,AUSTRALIA,Canoe capsized by shark
4822,21-Jan-1938,AUSTRALIA,Fishing
4823,18-Jan-1938,SOUTH AFRICA,"Watching seine netters with friends, one of whom picked up a netted shark"
4824,14-Jan-1938,AUSTRALIA,Diving off jetty
4825,02-Jan-1938,AUSTRALIA,Surf skiing
4826,Reported 1938,EGYPT,Sponge diving
4827,1938,TRINIDAD & TOBAGO,Body surfing
4828,1938,USA,Fishing
4829,1938,AUSTRALIA,Diving
4830,1938,SOUTH AFRICA,Swimming
4831,13-Nov-1937,USA,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather"
4832,11-Nov-1937,AUSTRALIA,Diving for trochus
4833,Reported 06-Nov-1937,SOLOMON ISLANDS,"Two canoes with 14 aboard blown to sea in a storm. While adrift for 3 week, one person fell overboard and was killed by a shark"
4834,27-Oct-1937,AUSTRALIA,Swimming 
4835,27-Oct-1937,AUSTRALIA,Swimming 
4836,24-Oct-1937,AUSTRALIA,Swimming near jetty
4837,24-Oct-1937,AUSTRALIA,Surf skiing
4838,Reported 26-Sep-t937,CROATIA,Fishing
4839,12-Sep-1937,SCOTLAND,Pleasure boating
4840,11-Sep-1937,SCOTLAND,Fishing
4841,01-Sep-1937,SCOTLAND,Rowing
4842,31-Aug-1937,AUSTRALIA,"Diving from the lugger San, operated by the Protector of the Aborigines"
4843,16-Aug-1937,TURKEY,Swimming
4844,02-Aug-1937,PANAMA,Swimming
4845,Reported 16-Jul-1937,AUSTRALIA,Pearl diving
4846,07-Jul-1937,ITALY,
4847,Reported 28-Jun-1937,GREECE,
4848,15-Jun-1937,AUSTRALIA,"Fishing from launch, fell into net with shark"
4849,15-Jun-1937,USA,Swimming
4850,30-May-1937,USA,Fishing
4851,15-May-1937,AUSTRALIA,"Refused permission to cross on the ferry, he was swimming across the river"
4852,26-Mar-1937,AUSTRALIA,Bathing
4853,09-Mar-1937,AUSTRALIA,Swimming
4854,13-Feb-1937,AUSTRALIA,Swimming
4855,11-Feb-1937,AUSTRALIA,Swimming ashore after launch capsized
4856,04-Feb-1937,AUSTRALIA,Fishing
4857,03-Feb-1937,AUSTRALIA,Fishing
4858,1937,AUSTRALIA,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized
4859,27-Jan-1937,AUSTRALIA,Holding shark's tail 
4860,1937,AUSTRALIA,
4861,30-Dec-1936,USA,"Diving, attempting to retrieve body of drowning victim wedged between rocks"
4862,19-Dec-1936,AUSTRALIA,Sculling
4863,15-Dec-1936,AUSTRALIA,Fishing for the shark that killed George Lundberg
4864,12-Dec-1936,AUSTRALIA,Swimming
4865,01-Dec-1936,AUSTRALIA,Fishing
4866,27-Nov-1936,AUSTRALIA,Spearfishing 
4867,Reported 11-Sep-1936,VIETNAM,Wreck of a sampam
4868,04-Sep-1936,USA,Swimming
4869,24-Aug-1936,AUSTRALIA,"Trochus diving, but floating on surface"
4870,13-Aug-1936,ICELAND,Swept overboard
4871,11-Aug-1936,CANADA,Fishing for cod
4872,Reported 04-Aug-1936,AUSTRALIA,Pearl diving
4873,Aug-1936,USA,Fishing
4874,25-Jul-1936,USA,Swimming crawl stroke
4875,12-Jul-1936,USA,Fishing for bluefish
4876,07-Jul-1936,AUSTRALIA,Diving
4877,Jul-1936,SOUTH AFRICA,"Fishing, catching snoek, Thyrsites atun"
4878,26-Jun-1936,AUSTRALIA,"Diving for trochus , but swimming on surface"
4879,06-Jun-1936,USA,Swimming
4880,22-Apr-1936,AUSTRALIA,Diving for trochus
4881,08-Ap-1936,AUSTRALIA,Diving
4882,30-Mar-1936,USA,Fishing
4883,12-Mar-1936,AUSTRALIA,Among 31 survivors of crew from the sampan Fukulya Maru (which reached Thursday Island in rowing boat) was a man whose arm had been bitten off by shark. The sampan wrecked west of McArthur island
4884,19-Mar-1936,AUSTRALIA,Diving for trochus
4885,04-Mar-1936,AUSTRALIA,Rowing 
4886,23-Feb-1936,AUSTRALIA,Touching the mouth of a supposedly dead shark
4887,Reported 20-Feb-1936,AUSTRALIA,Sculling
4888,04-Feb-1936,AUSTRALIA,Swimming
4889,22-Jan-1936,AUSTRALIA,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared"
4890,05-Jan-1936,AUSTRALIA,Surfing
4891,Jan-1936,AUSTRALIA,Paddleskiing
4892,1936,AUSTRALIA,Swimming 
4893,23-Dec-1935,AUSTRALIA,Cruising
4894,13-Nov-1935,AUSTRALIA,Diving?
4895,21-Sep-1935,USA,Swimming
4896,Reported 04-Sep-1935,PAPUA NEW GUINEA,Swimming
4897,26-Aug-1935,AUSTRALIA,"Fell overboard, hanging onto lifebuoy"
4898,24-Aug-1935,UNITED KINGDOM,Fishing
4899,13-Aug-1935,AUSTRALIA,Diving for beche-de-mer from lugger
4900,27-Jul-1935,USA,fishing boat exploded & sank
4901,27-Jul-1935,USA,fishing boat exploded & sank
4902,05-Jul-1935,PANAMA,"Fishing with dynamite, afterwards in water retrieving catch"
4903,01-Jul-1935,CROATIA,Swimming
4904,18-Jun-1935,USA,"Fishing for bluefish, shark leapt into dory"
4905,Reported 05-Jun-1935,SOLOMON ISLANDS,Fishing
4906,Jun-1935,AUSTRALIA,
4907,Jun-1935,PAPUA NEW GUINEA,
4908,19-May-1935,SOUTH AFRICA,Put foot inside a landed & supposedly dead shark
4909,12-May-1935,AUSTRALIA,Pearl diving
4910,25-Apr-1935,AUSTRALIA,"Disappeared 11 days earlier, probable homicide victim"
4911,Reported 12-Apr-1935,,Diving
4912,Reported 08-Apr-1935,USA,
4913,30-Mar-1935,AUSTRALIA,Diving from dinghy for trochus shell
4914,Reported 25-Mar-1935,SOUTH AFRICA,Put foot inside mouth of supposedly dead shark
4915,20-Mar-1935,AUSTRALIA,"Pearl diving, but standing in the water"
4916,13-Mar-1935,AUSTRALIA,Hauling in net with shark in it
4917,11-Mar-1935,AUSTRALIA,Surfing
4918,09-Mar-1935,AUSTRALIA,Swimming
4919,02-Mar-1935,AUSTRALIA,Standing
4920,14-Feb-1935,AUSTRALIA,Surfing (pneumatic surfboard)
4921,24-Jan-1935,AUSTRALIA,Fishing
4922,24-Jan-1935,AUSTRALIA,Fishing for sharks
4923,Reported 21-Jan-1935,ISRAEL,
4924,17-Jan-1935,AUSTRALIA,
4925,31-Dec-1934,AUSTRALIA,Splashing
4926,31-Dec-1934,AUSTRALIA,Swimming (lead swimmer in race)
4927,23-Dec-1934,AUSTRALIA,Taken as he dived into the water
4928,23-Oct-1934,AUSTRALIA,Swimming & splashing
4929,09-Oct-1934,AUSTRALIA,Bathing
4930,08-Oct-1934,BERMUDA,Fishing
4931,22-Oct-1934,AUSTRALIA,Freediving for trochus shell (submerged)
4932,08-Sep-1934,BERMUDA,Fishing
4933,27-Aug-1934,ITALY,Fishing on a boat
4934,Reported 26-Aug-1934,ITALY / CROATIA,Swimming
4935,26-Aug-1934,AUSTRALIA,Dived into sea from launch & bitten immediately
4936,21-Aug-1934,CROATIA,Swimming
4937,05-Aug-1934,USA,Swimming
4938,11-Jul-1934,AUSTRALIA,Fishing
4939,21-Jun-1934,AUSTRALIA,Fishing
4940,20-Jun-1934,USA,Standing
4941,15-Apr-1934,AUSTRALIA,Body surfing
4942,01-Apr-1934,SOUTH AFRICA,Swimming
4943,01-Apr-1934,SOUTH AFRICA,Swimming 
4944,01-Apr-1934,AUSTRALIA,Swimming in waist-deep water 
4945,12-Mar-1934,AUSTRALIA,Swimming in hip-deep water
4946,Mar-1934,AUSTRALIA,Fishing 
4947,24-Feb-1934,AUSTRALIA,Splashing in water 
4948,22-Feb-1934,CHILE,Fell into the water
4949,Reported 08-Feb-1934,TURKEY,Fishing
4950,27-Jan-1934,AUSTRALIA,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream 
4951,07-Jan-1934,AUSTRALIA,Swimming on sandbar adjacent to channel
4952,20-Nov-1933,AUSTRALIA,Free diving for trochus 
4953,18-Nov-1933,AUSTRALIA,Pearl diving
4954,Reported 25-Oct-1933,AUSTRALIA,Diving
4955,Reported 27-Sep-1933,ISRAEL,Fishing
4956,28-Aug-1933,USA,"Fishing, caught a 15' shark & took it onboard"
4957,28-Aug-1933,USA,Bathing
4958,Reported 26-Aug-1933,USA,Swimming
4959,Reported 07-Jul-1933,USA,
4960,03-Jul-1933,AUSTRALIA,Pearl diving
4961,21-Jun-1933,USA,Sitting in 3' of water
4962,16-Jun-1933,USA,Standing
4963,13-Jun-1933,AUSTRALIA,Fishing
4964,24-May-1933,BARBADOS,Yacht of Michael Howell capsized
4965,23-May-1933,AUSTRALIA,Fishing
4966,Reported 08-Jun-1933,AUSTRALIA,Treading water
4967,03-May-1933,CUBA,Swimming to shore from capsized sailboat
4968,10-Apr-1933,USA,Swimming
4969,26-Feb-1933,AUSTRALIA,Standing on his hands
4970,Reported 15-Feb-1933,AUSTRALIA,Diving for trochus  from dinghy when seized by shark 6' below the surface
4971,14-Feb-1933,AUSTRALIA,
4972,12-Feb-1933,AUSTRALIA,Fishing
4973,04-Jan-1933,AUSTRALIA,Swimming
4974,Reported 11-Dec-1932,AUSTRALIA,
4975,Reported 09-Dec-1932,NEW ZEALAND,Fishing 
4976,08-Nov-1932,CUBA,Hurricane & Tidal Wave
4977,31-Oct-1932,AUSTRALIA,Swimming
4978,11-Oct-1932,CAPE VERDE,Swimming
4979,Reported 26-Sep-1932,FIJI,Catching a turtle
4980,30-Aug-1932,AUSTRALIA,
4981,30-Aug-1932,AUSTRALIA,
4982,10-Aug-1932,USA,Fishing
4983,09-Aug-1932,AUSTRALIA,Pearl diving
4984,06-Aug-1932,BAHAMAS,On expedition filming a feature movie & standing on tripod
4985,Reported 14-Jul-1932,USA,
4986,02-Jul-1932,CANADA,"Fishing, hauling in fishing gear"
4987,28-Jun-1932,USA,Fishing
4988,26-Jun-1932,USA,Fishing
4989,20-Jun-1932,FIJI,Free diving with goggles
4990,12-May-1932,AUSTRALIA,Pearl diving
4991,May 1932,AUSTRALIA,Pearl diving
4992,16-Apr-1932,PHILIPPINES,Standing
4993,16-Apr-1932,PHILIPPINES,Standing
4994,16-Feb-1932,USA,Swimming
4995,13-Feb-1932,AUSTRALIA,Fishing with dynamite
4996,08-Feb-1932,PHILIPPINES,Working near fish traps
4997,27-Jan-1932,AUSTRALIA,Swimming
4998,11-Jan-1932,AUSTRALIA,Fishing
4999,06-Jan-1932,MEXICO,Fishing
5000,1932,SOUTH AFRICA,Collecting fish by lamplight in gully
5001,26-Nov-1931,AUSTRALIA,Diving for trochus from lugger
5002,27-Sep-1931,JAMAICA,Diving off wharf
5003,21-Sep-1931,USA,Swimming
5004,21-Sep-1931,USA,Swimming 
5005,02-Sep-1931,USA,Fishing
5006,31-Aug-1931,CUBA,Swimming
5007,30-Aug-1931,USA,
5008,27-Aug-1931,USA,Fishing for bluefish
5009,25-Aug-1931,CUBA,Swimming a quarter mile offshore
5010,23-Aug-1931,CUBA,Swimming 
5011,18-Aug-1931,USA,Swimming
5012,Reported 06-Aug-1931,USA,Swimming
5013,01-Aug-1931,AUSTRALIA,Fell overboard?
5014,Reported 28-Jul-1931,FIJI,Swimming
5015,15-Jul-1931,USA,Swimming
5016,14-Jun-1931,USA,"Fishing, had just speared a ulua"
5017,13-Jun-1931,USA,Gaffing & attempting to bring onboard a harpooned shark
5018,Reported 04-Jun-1931,USA,Crabbing
5019,02-May-1931,AUSTRALIA,
5020,Reported 27-Apr-1931,,"Fishing, boat capsized"
5021,22-Mar-1931,AUSTRALIA,Fishing with a cast net
5022,16-Mar-1931,TURKEY,Fishing
5023,06-Mar-1931,AUSTRALIA,"Fishing, hauling in net, shark in net"
5024,10-Feb-1931,AUSTRALIA,Swimming 
5025,24-Jan-1931,AUSTRALIA,
5026,14-Jan-1931,AUSTRALIA,Pearl diving
5027,07-Jan-1931,AUSTRALIA,Swimming
5028,1931,TONGA,"Swimming, carrying tin can with mail to steamer"
5029,1931,PAPUA NEW GUINEA,
5030,25-Dec-1930,AUSTRALIA,Swimming
5031,13-Dec-1930,AUSTRALIA,Fell overboard
5032,02-Dec-1930,AUSTRALIA,Fishing
5033,Dec-1930,AUSTRALIA,
5034,30-Nov-1930,AUSTRALIA,Thrown into water from fishing dinghy
5035,Reported 26-Sep-1930,HONDURAS,Swimming
5036,1930,AZORES,
5037,31-Aug-1930,AUSTRALIA,Fishing
5038,16-Aug-1930,SPAIN,Swimming
5039,06-Aug-1930,USA,Swimming
5040,19-Jul-1930,CUBA,Swimming
5041,11-Jul-1930,USA,Swimming
5042,04-Jun-1930,AUSTRALIA,
5043,27-May-1930,USA,Swimming / floating
5044,Reported 11-May-1930,TURKEY,Fishing
5045,11-May-1930,COSTA RICA,Air disaster
5046,08-Apr-1930,SOUTH AFRICA,
5047,Reported 07-Mar-1930,USA,Sponge diving
5048,20-Feb-1930,AUSTRALIA,Pearl diving
5049,15-Feb-1930,AUSTRALIA,Diving off pier & treading water
5050,Reported 03-Feb-1930,AUSTRALIA,Removing shark from a trap
5051,22-Jan-1930,MEXICO,Fishing schooner Jose Luis foundered
5052,16-Jan-1930,SOUTH AFRICA,Swimming
5053,Jan-1930,MAURITIUS,Swimming to shore after a squall  capsized their motorized shark fishing boat
5054,1930,OKINAWA,
5055,1930,SOUTH AFRICA,Swimming
5056,26-Dec-1929,AUSTRALIA,Diving by wharf
5057,21-Dec-1929,AUSTRALIA,Diving
5058,16-Dec-1929,AUSTRALIA,Bathing or body surfing 
5059,13-Dec-1929,AUSTRALIA,Pearl diving
5060,Reported 09-Dec-1929,,
5061,Reported 03-Dec-1929,AUSTRALIA,
5062,29-Nov-1929,KIRIBATI,"Sea Disaster, wreck of the  SS Norwich City"
5063,21-Nov-1929,CUBA,Fishing
5064,20-Oct-1929,AUSTRALIA,Pearl diving
5065,02-Oct-1929,SPAIN,Fishing 
5066,01-Sep-1929,AUSTRALIA,Fell from wharf into water & attacked immediately
5067,05-Aug-1929,USA,Bathing
5068,29-Jul-1929,MEXICO,Swimming
5069,Reported 17-Jul-1929,CAPE VERDE,
5070,23-Jun-1929,USA,Fishing
5071,31-May-1929,AUSTRALIA,Pearl diving
5072,Reported 26-Apr-1929,AUSTRALIA,Diving for trepang
5073,Reported 17-Apr-1929,AUSTRALIA,Diving for trochus
5074,11-Apr-1929,AUSTRALIA,Standing in knee-deep water
5075,09-Apr-1929,AUSTRALIA,
5076,04-Apr-1929,AUSTRALIA,Swimming between boats
5077,16-Mar-1929,USA,Swimming
5078,12-Mar-1929,AUSTRALIA,Bathing
5079,04-Mar-1929,AUSTRALIA,Launching rowboat through the surf
5080,04-Mar-1929,AUSTRALIA,Launching rowboat through the surf
5081,18-Feb-1929,AUSTRALIA,Body surfing
5082,09-Feb-1929,AUSTRALIA,Canoeing
5083,08-Feb-1929,AUSTRALIA,Swimming
5084,27-Jan-1929,AUSTRALIA,Swimming
5085,14-Jan-1929,NEW ZEALAND,Bathing
5086,12-Jan-1929,AUSTRALIA,Body surfing
5087,06-Jan-1929,TURKEY,Fishing boat
5088,05-Jan-1929,FIJI,Diving for coins thrown from ship S.S. Moeraki
5089,Reported 1929,AUSTRALIA,Swimming
5090,Ca. 1929,AUSTRALIA,"Wading, netting fish"
5091,1929,USA,Fishing
5092,1929,AUSTRALIA,
5093,1929,USA,Hardhat diving 
5094,21-Dec-1928,AUSTRALIA,Pearl diving
5095,18-Nov-1928,USA,Fishing
5096,Reported 15-Nov-1928,INDIA,
5097,12-Nov-1928,USA,"Sea Disaster, sinking of the  SS Vestris"
5098,04-Nov-1928,PANAMA,Swimming
5099,Sep-1928,USA,Fishing
5100,Reported 24-Aug-1928,USA,
5101,11-Jul-1928,AUSTRALIA,Pearl diving
5102,Late Jul-1928,ITALY,Boating
5103,Reported 24-Jun-1928,USA,Swimming
5104,27-May-1928,INDIA,
5105,Reported 14-Apr-1928,AUSTRALIA,Fishing
5106,14-Apr-1928,AUSTRALIA,Treading water
5107,09-Apr-1928,JAMAICA,Diving
5108,06-Apr-1928,AUSTRALIA,Bathing
5109,04-Apr-1928,AUSTRALIA,Standing in waist-deep water
5110,Reported 28-Mar-1928,AUSTRALIA,
5111,20-Feb-1928,AUSTRALIA,Pearl diving
5112,Feb-1928,COSTA RICA,Swimming
5113,Feb-1928,COSTA RICA,Swimming
5114,27-Jan-1928,AUSTRALIA,Retrieving meat from a cage in the water
5115,21-Jan-1928,USA,Swimming
5116,Some time between 08-Jan-1928 & 21-Jan-1928,USA,Jumped overboard and swimming
5117,02-Jan-1928,SOUTH AFRICA,
5118,Jan-1928,SOUTH AFRICA,Body surfing
5119,1928,SOUTH AFRICA,Standing
5120,28-Dec-1927,SOUTH AFRICA,Swimming
5121,03-Nov-1927,AUSTRALIA,The steamer Tahiti collided with the ferry Greycliffe
5122,25-Oct-1927,BRAZIL,Italian liner Principessa Mafalda sank
5123,12-Oct-1927,AUSTRALIA,Riding horseback across the creek
5124,Oct-1927,FIJI,"Standing, collecting bananas"
5125,03-Jul-1927,AUSTRALIA,
5126,29-May-1927,PHILIPPINES,Sea disaster
5127,Reported 09-May 1927,AUSTRALIA,Walking
5128,20-Apr-1927,AUSTRALIA,Diving
5129,08-Apr-1927,AUSTRALIA,Pearl diving
5130,11-Mar-1927,AUSTRALIA,Body surfing / treading water
5131,14-Feb-1927,NICARAGUA,Feeling the sharkâs teeth
5132,09-Feb-1927,AUSTRALIA,Attempting to rescue drowning man
5133,Feb-1927,NEW ZEALAND,Fishing
5134,20-Jan-1927,SOUTH AFRICA,Body surfing
5135,Reported 08-Jan-1927,USA,Swimming
5136,03-Jan-1927,AUSTRALIA,Swimming
5137,1927,AUSTRALIA,Swimming
5138,1927,AUSTRALIA,Pearl diving
5139,Reported 02-Dec-1926,AUSTRALIA,Diving for trochus
5140,17-Nov-1926,AUSTRALIA,Diving
5141,Reported 29-Oct-1926,PAPUA NEW GUINEA,Jumped into the water
5142,23-Oct-1926,AUSTRALIA,Bathing
5143,23-Oct-1926,BERMUDA,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane
5144,Reported 06-Sep-1926,PAPUA NEW GUINEA,Jumped out of canoe
5145,24-Aug-1926,USA,Swimming
5146,23-Jul-1926,ITALY,Swimming
5147,12-Jul-1926,USA,Fishing
5148,08-Jul-1926,USA,Swimming with dog near canning factory
5149,03-Jul-1926,SPAIN,Bathing
5150,18-May-1926,USA,Swimming
5151,22-Apr-1926,SOUTH ATLANTIC OCEAN,Fell overboard from SS Ripley Castle
5152,07-Apr-1926,USA,Swimming
5153,17-Mar-1926,AUSTRALIA,Swimming 
5154,26-Jan-1926,SOUTH AFRICA,Swimming
5155,Jan-1926,AUSTRALIA,
5156,Summer of 1926,MONACO,
5157,1926,NEW ZEALAND,Shark hoisted on board liner Tahiti
5158,1926,SINGAPORE,Dived onto shark from floating stage
5159,1926,SOUTH AFRICA,Swimming to mail boat
5160,22-Nov-1925,AUSTRALIA,Floating on his back
5161,Nov-1925,USA,
5162,Nov-1925,USA,
5163,04-Sep-1925,SPAIN,Fishing
5164,03-Sep-1925,ENGLAND,Fishing
5165,02-Aug-1925,USA,Swimming
5166,15-Jun-1925,AUSTRALIA,
5167,May 1925,USA,
5168,07-Mar-1925 or 27-Mar-1925,AUSTRALIA,Bathing in waist-deep water
5169,12-Mar-1925,AUSTRALIA,Swimming
5170,10-Mar-1925,PAPUA NEW GUINEA,Swimming
5171,Reported 27-Jan-1925,USA,Swimming
5172,08-Jan-1925,CANADA,"Diving, repairing water main at depth of 90'"
5173,1925,FIJI,Diving for coins tossed from passenger ship
5174,25-Nov-1924,MEXICO,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.
5175,24-Nov-1924,PANAMA,"Inebriated, woke from sleep and fell off deck into the water "
5176,21-Nov-1924,USA,Bathing
5177,Reported 31-Oct-1924,FRENCH POLYNESIA,Pearl diving
5178,18-Oct-1924,AUSTRALIA,Bathing
5179,31-Jul-1924,USA,Standing
5180,14-Jul-1924,ENGLAND,Fishing for mackerel
5181,04-Jul-1924,USA,Fishing
5182,18-Jun-1924,USA,Removing shark from a net
5183,25-Apr-1924,AUSTRALIA,"Fishing, fell in water & swimming strongly to shore"
5184,22-Apr-1924,PANAMA,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller"
5185,20-Apr-1924,AUSTRALIA,Swimming 
5186,Reported 28-Mar-1924,SOLOMON ISLANDS,Swimming
5187,24-Mar-1924,SPAIN,Fishing
5188,13-Feb-1924,AUSTRALIA,Bathing in 5' of water
5189,08-Feb-1924,AUSTRALIA,Bathing
5190,29-Jan-1924,SOUTH AFRICA,Swimming
5191,25-Jan-1924,SOUTH AFRICA,Swimming
5192,09-Jan-1924,AUSTRALIA,Had just dived into water & was swimming
5193,12-Dec-1923,AUSTRALIA,Swimming
5194,02-Dec-1923,AUSTRALIA,"Fishing, standing in waist-deep water"
5195,23-Nov-1923,AUSTRALIA,Dry shelling
5196,02-Nov-1923,AUSTRALIA,Fishing
5197,20-Oct-1923,AUSTRALIA,Sailing
5198,17-Oct-1923,AUSTRALIA,Fishing
5199,16-Oct-1923,AUSTRALIA,Pearl diving
5200,08-Aug-1923,GUYANA,Fishing
5201,Reported 02-Jul-1923,AUSTRALIA,Diving for pearl
5202,16-Jun-1923,AUSTRALIA,"After rowing skiff was holed by shark, he was attempting to swim ashore"
5203,06-Jun-1923,MEXICO,Dismantling cable buoys of the cable ship All America
5204,Reported 23-May-1923,AUSTRALIA,Wading
5205,22-May-1923,AUSTRALIA,Diving?
5206,18-Mar-1923,AUSTRALIA,Diving
5207,Feb-1923,USA,Swimming 
5208,27-Jan-1923,AUSTRALIA,
5209,27-Jan-1923,AUSTRALIA,Swimming
5210,14-Jan-1923,CUBA,seaplane Columbus ditched in the sea
5211,1923,USA,Fishing
5212,1923-1924,PHILIPPINES,
5213,1923,USA,Hoisting shark aboard fishing boat
5214,1923,USA,Hoisting shark aboard fishing boat
5215,14-Dec-1922,USA,Bathing
5216,05-Dec-1922,AUSTRALIA,Bathing in 3' to 4' of water
5217,29-Sep-1922,BARBADOS,Fishing
5218,29-Oct-1922,AUSTRALIA,Sailing
5219,28-Sep-1922,USA,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging "
5220,Reported 26-Sep-1922,ENGLAND,Swimming 
5221,Reported 21-Sep-1922,USA,Fishing
5222,19-Jul-1922,USA,
5223,17-Jun-1922,USA,Floating
5224,24-May 1922,JAMAICA,Swimming
5225,06-May-1922,SOUTH AFRICA,Swimming
5226,26-Apr-1922,AUSTRALIA,Swimming
5227,20-Mar-1922,JAMAICA,Fishing
5228,13-Mar-1922,JAMAICA,Standing
5229,02-Mar-1922,AUSTRALIA,Bathing in knee-deep water
5230,Reported 02-Feb-1922,AUSTRALIA,Swimming
5231,04-Feb-1922,AUSTRALIA,Swimming
5232,Reported 28-Jan-1922,IRAQ,Bathing
5233,15-Jan-1922,AUSTRALIA,Swimming 
5234,13-Jan-1922,AUSTRALIA,Standing
5235,04-Jan-1922,AUSTRALIA,Surfing
5236,11-Dec-1921,AUSTRALIA,Swimming
5237,27-Nov-1921,AUSTRALIA,Fell from his father's back into the water
5238,27-Nov-1921,AUSTRALIA,"Wading to dinghy, carrying his son"
5239,Reported 15-Nov-1921,FIJI,Swimming
5240,12-Oct-1921,AUSTRALIA,Diving for beche-de-mer 
5241,04-Oct-1921,AUSTRALIA,Diving for beche-de-mer
5242,Sep-1921,ENGLAND,Fishing
5243,Reported 29-Aug-1929,AUSTRALIA,
5244,28-Aug-1921,PHILIPPINES,Swimming
5245,21-Jul-1921,CUBA,Fell overboard
5246,Reported 11-Jan-1921,PHILIPPINES,
5247,29-Nov-1920,AUSTRALIA,Wading
5248,22-Aug-1921,HAITI,Dived into a school of baitfish
5249,22-Nov-1920,AUSTRALIA,Standing
5250,04-Nov-1920,PHILIPPINES,The coastwise steamer San Basilio capsized in a typhoon
5251,14-Jul-1920,USA,Swimming 
5252,Reported 06-Jul-1920,AUSTRALIA,Diving for trochus shell
5253,29-Jun-1920,USA,Swimming 
5254,27-Jun-1920,CANADA,Harpooned shark
5255,08-Mar-1920,AUSTRALIA,"Boat capsized, swimming to shore"
5256,Reported 24-Jan-1920,AUSTRALIA,Diving
5257,03-Feb-1920,SOUTH AFRICA,Floating face down
5258,Reported 24-Jan-1920,AUSTRALIA,Free diving
5259,15-Jan-1920,AUSTRALIA,Swimming 
5260,1920s,JAMAICA,Jumped overboard
5261,1920,NEW ZEALAND,
5262,1920,SOUTH AFRICA,Splashing
5263,Reported 30-Dec-1919,AUSTRALIA,Swimming
5264,07-Dec-1919,AUSTRALIA,Swimming
5265,18-Nov-1919,AUSTRALIA,Sitting in a boat
5266,12-Sep-1919,COSTA RICA,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore
5267,10-Aug-1919,USA,Swimming
5268,29-May-1919,USA,"""Swimming vigorously"""
5269,06-Apr-1919,USA,Knocked into the water
5270,16-Mar-1919,AUSTRALIA,Cutter capsized
5271,17-Jan-1919,AUSTRALIA,Swimming
5272,15-Jan-1919,NEW ZEALAND,Swimming
5273,09-Jan-1919,AUSTRALIA,Wading
5274,05-Jan-1919,AUSTRALIA,Wading (shrimping)
5275,Reported to have taken place in 1919,ITALY,Fishing
5276,1919,USA,Swimming
5277,Nov-1918,USA,Fishing
5278,Nov-1918,SAN DOMINGO,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.
5279,19-Sep-1918,AUSTRALIA,Bathing
5280,22-Mar-1918,AUSTRALIA,Surfing
5281,1918,AUSTRALIA,Diving
5282,15-Dec-1917,AUSTRALIA,Swimming
5283,Nov-1917,MOZAMBIQUE,Wreck of the tug Magellan
5284,21-Sep-1917,USA,"Swimming, towing an empty barrel"
5285,09-Sep-1917,USA,Stuffing a shark into an automobile
5286,Sep-1917,PANAMA,Swimming to shore from the Medic
5287,18-Jul-1917,USA,Diving
5288,15-Jul-1917,IRELAND,Ship Mariston torpedoed & sunk
5289,03-Jun-1917,USA,Swimming beside launch
5290,31-May-1917,PHILIPPINES,Swimming
5291,Reported 05-May-1917,KUWAIT,Diving for pearls
5292,1917,LIBYA,Diving for sponges
5293,30-Dec-1916,AUSTRALIA,Bathing
5294,08-Dec-1916,AUSTRALIA,Taking wife to beach & about 1 m from the shore
5295,08-Dec-1916,AUSTRALIA,Swimming 10 m from shore
5296,15-Nov-1916,PANAMA,
5297,10-Nov-1916,AUSTRALIA,Swimming
5298,09-Nov-1916,AUSTRALIA,Bathing
5299,11-Oct-1916,USA,"Fishing, attempted to take a netted shark"
5300,24-Aug-1916,USA,Netting shrimp
5301,26-Jul-1916,USA,Fishing
5302,13-Jul-1916,USA,Swimming
5303,13-Jul-1916,USA,Swimming
5304,12-Jul-1916,USA,Swimming
5305,12-Jul-1916,USA,Swimming (recovering remains of Stilwell) 
5306,12-Jul-1916,USA,Swimming
5307,11-Jul-1916,BAHAMAS,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats.
5308,08-Jul-1916,SPAIN,Diving
5309,07-Jul-1916,PHILIPPINES,Bathing
5310,06-Jul-1916,USA,Swimming
5311,01-Jul-1916,USA,Swimming
5312,30-Jun-1916,USA,Swimming
5313,Reported 24-Jun-1916,ATLANTIC OCEAN,Jumped overboard from Norwegian steamship Venator
5314,23-Jun-1916,USA,
5315,Reported 25-Apr-1916,AUSTRALIA,Swimming
5316,03-Apr-1916,AUSTRALIA,Clinging to overturned rowing boat
